simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
炉,(U+7089),爐,(U+7210),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,59,15729
𥁊,,盋,,,58,495
㙮,,塔,,,57,72485
厎,,底,,,57,90328
帮,(U+5E2E),幫,(U+5E6B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,57,699
㦲,,哉,,,55,73529
刾,(U+523E),㓨,(U+34E8),opencc_s2t;unihan_simplified;unihan_traditional,55,625
独,(U+72EC),獨,(U+7368),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,54,99429
当,(U+5F53),當,(U+7576),,54,500925
瑶,(U+7476),瑤,(U+7464),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,53,2831
歩,,步,,,52,48130
楼,(U+697C),樓,(U+6A13),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,52,40640
爲,(U+7232),為,(U+70BA),,52,2231564
戯,(U+622F),戱,(U+6231),opencc_s2t;unihan_simplified;unihan_traditional,52,470
攅,,攢,,,52,2503
暁,,曉,,,51,27026
㓜,,幼,,,51,13725
耼,U+803C,聃,U+8043,,50,825
䑓,,臺,,,50,44106
朩,,木,,,50,84036
龎,,龐,,,50,4638
难,(U+96BE),難,(U+96E3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,50,319330
伫,(U+4F2B),佇,(U+4F47),opencc_s2t;unihan_simplified;unihan_traditional,50,2555
産,,產,,,49,14090
曡,,疊,,,48,9739
宫,(U+5BAB),宮,(U+5BAE),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,48,460230
㓗,,潔,,,48,14646
㓂,,寇,,,47,9354
顔,(U+9854),顏,(U+984F),,47,18905
吓,(U+5413),嚇,(U+5687),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,47,865
広,,廣,,,47,223408
兊,,兌,,,47,1246
䝿,,貴,,,46,49410
