source_file,title,KR_ID,EXTENT,SOURCE,author_index,person_name,DATES,DYNASTY,FUNCTION
skqs1.org,尚書注疏,KR1b0004,19 卷,"四庫全書 文淵閣版, V54.1, p1",3,陸德明,,唐,音義
skqs1.org,尚書注疏,KR1b0004,19 卷,"四庫全書 文淵閣版, V54.1, p1",4,齊召南,,清,考證
skqs1.org,尚書注疏,KR1b0004,19 卷,"四庫全書 文淵閣版, V54.1, p1",5,陳浩,,清,考證
skqs1.org,洪範口義,KR1b0005,2 卷,"四庫全書 文淵閣版, V54.2, p451",1,胡瑗,993 - 1059,宋,撰
skqs1.org,書傳,KR1b0006,20 卷,"四庫全書 文淵閣版, V54.3, p485",1,蘇軾,1036 - 1101,宋,撰
skqs1.org,尚書全解,KR1b0007,40 卷,"四庫全書 文淵閣版, V55.1, p1",1,林之奇,d. 1176,宋,撰
skqs1.org,禹貢指南,KR1b0008,4 卷,"四庫全書 文淵閣版, V56.1, p1",1,毛晃,fl. 1162,宋,撰
skqs1.org,禹貢論,KR1b0009,2 卷,"四庫全書 文淵閣版, V56.2, p53",1,程大昌,1123 - 1195,宋,撰
skqs1.org,尚書講義,KR1b0010,20 卷,"四庫全書 文淵閣版, V56.3, p169",1,史浩,1106 - 1194,宋,撰
skqs1.org,夏氏尚書詳解,KR1b0011,26 卷,"四庫全書 文淵閣版, V56.4, p393",1,夏僎,,宋,撰
skqs1.org,禹貢說斷,KR1b0012,26 卷,"四庫全書 文淵閣版, V57.1, p1",1,傳寅,,宋,撰
skqs1.org,增修東萊書說,KR1b0013,35 卷,"四庫全書 文淵閣版, V57.2, p127",1,呂祖謙,1137 - 1181,宋,撰
skqs1.org,增修東萊書說,KR1b0013,35 卷,"四庫全書 文淵閣版, V57.2, p127",2,時瀾,,宋,增修
skqs1.org,尚書說,KR1b0014,7 卷,"四庫全書 文淵閣版, V57.3, p467",1,黃度,1138 - 1213,宋,撰
skqs1.org,五誥解,KR1b0015,4 卷,"四庫全書 文淵閣版, V57.4, p601",1,楊簡,1140 - 1225,宋,撰
skqs1.org,絜齋家塾書鈔,KR1b0016,12 卷,"四庫全書 文淵閣版, V57.5, p627",1,袁燮,1144 - 1224,宋,撰
skqs1.org,書經集傳,KR1b0017,6 卷,"四庫全書 文淵閣版, V58.1, p1",1,蔡沈,1167 - 1230,宋,撰
skqs1.org,尚書精義,KR1b0018,50 卷,"四庫全書 文淵閣版, V58.2, p141",1,黃倫,fl. 1183 - 1188,宋,撰
