docclass,title,author,geo,geo_latitude,geo_longitude,docclass,doc_category_l1,doc_category_l2,doc_category_l3,time_dynasty,date_not_before,date_not_after,metadata/title.hanzi,metadata/title.hanyupinyin,metadata/Name,metadata/Name.Hanyupinyin,metadata/Function,metadata/styles.hao,metadata/CourtesyName.zi,metadata/PosthumousTitle.shi,metadata/AuthorDates,metadata/TotalJuan,metadata/Genre1,metadata/Genre2,metadata/Genre3,metadata/Place,metadata/GISCode,,metadata/Notes
DZ0055,高上太霄琅書瓊文帝章經,,,,,,Shangqing,Canonical Shangqing Scriptures,,Six Dynasties,220,589,高上太霄琅書瓊文帝章經,Gaoshang taixiao langshu qiongwen dizhang jing,,,,,,,,1,Shangqing,Canonical Shangqing Scriptures,,,,,
DZ0056,太上玉佩金璫太極金書上經,楊羲,句容,"31,9453","119,1717",,Shangqing,Canonical Shangqing Scriptures,,Eastern Jin,363,370,太上玉佩金璫太極金書上經,Taishang Yupei Jindang taiji jinshu shangjing,楊羲,Yang Xi,,,羲和,,330-386,1,Shangqing,Canonical Shangqing Scriptures,,句容,PL000000011098,"DZTK 176: The present text, is an original Shangqing version that was rewritten during the revelation.",
DZ0057,上方天尊說真元通仙道經,,,,,,The Zhenyuan Scriptures,,,,,,上方天尊說真元通仙道經,Shangfang tianzun shuo zhenyuan tongxian daojing,,,,,,,,1,The Zhenyuan Scriptures,,,,,,
DZ0058,無上大乘要訣妙經,,,,,,Lingbao,Scriptures,Medium-Length Scriptures,Tang,618,907,無上大乘要訣妙經,Wushang dacheng yaojue miaojing ,,,,,,,,1,Lingbao,Scriptures,Medium-Length Scriptures,,,,
DZ0059,元始洞真決疑經,,,,,,Lingbao,Scriptures,The Long Treatises,Early seventh century,601,650,元始洞真決疑經,Yuanshi dongzhen jueyi jing,,,,,,,,1,Lingbao,Scriptures,The Long Treatises,,,,
DZ0060,元始天尊說玄微妙經,,,,,,Shangqing,Other Early Shangqing Scriptures,,Six Dynasties ,220,589,元始天尊說玄微妙經,Yuanshi tianzun shuo xuanwei miaojing ,,,,,,,,1,Shangqing,Other Early Shangqing Scriptures,,,,,
DZ0061,太上洞真賢門經,,,,,,Lingbao,Litanies,,Tang,618,907,太上洞真賢門經,Taishang dongzhen xianmen jing ,,,,,,,,1,Lingbao,Litanies,,,,,
DZ0062,元始天王歡樂經,,,,,,Lingbao,Scriptures,Medium-Length Scriptures,Tang,618,907,元始天王歡樂經,Yuanshi tianwang huanle jing,,,,,,,,1,Lingbao,Scriptures,Medium-Length Scriptures,,,,
DZ0063,玉清胎元內養真經,,,,,,Other Popular Cults,The Cult of the Northern Dipper,,,,,玉清胎元內養真經,Yuqing taiyuan neiyang zhenjing ,,,,,,,,1,Other Popular Cults,The Cult of the Northern Dipper,,,,,
DZ0064,玉清無上內景真經,,,,,,Other Popular Cults,The Cult of the Northern Dipper,,,,,玉清無上內景真經,Yuqing wushang neijing zhenjing ,,,,,,,,1,Other Popular Cults,The Cult of the Northern Dipper,,,,,
DZ0065,太上真一報父母恩重經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上真一報父母恩重經,Taishang zhenyi baofumu enzhong jing ,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0066,元始洞真慈善孝子報恩成道經,,,,,,Lingbao,Scriptures,Medium-Length Scriptures,Tang,618,907,元始洞真慈善孝子報恩成道經,Yuanshi dongzhen cishan xiaozi baoen chengdao jing ,,,,,,,,1,Lingbao,Scriptures,Medium-Length Scriptures,,,,
DZ0067,太上元始天尊說消殄蟲蝗經,,,,,,Zhengyi,Scriptures,,,,,太上元始天尊說消殄蟲蝗經,Taishang yuanshi tianzun shuo xiaotian chonghuang jing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0068,太上安鎮九壘龍神妙經,,,,,,Zhengyi,Scriptures,,,,,太上安鎮九壘龍神妙經,Taishang anzhen jiulei Iongshen miaojing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0069,太上洞真安竈經,,,,,,Zhengyi,Scriptures,,,,,太上洞真安竈經,Taishang dongzhen anzao jing ,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0070,太上元始天尊説金光明經,,,,,,Zhengyi,Scriptures,,,,,太上元始天尊説金光明經,Taishang yuanshi tianzun shuo jin guangming jing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0071,元始天尊說三官寶號經,,,,,,Zhengyi,Scriptures,,,,,元始天尊說三官寶號經,Yuanshi tianzun shuo sanguan baohao jing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0072,元始天尊濟度血湖真經,,,,,,Lingbao,Scriptures,,,,,元始天尊濟度血湖真經,Yuanshi tianzun jidu xuehu zhenjing,,,,,,,,3,Lingbao,Scriptures,,,,,
DZ0073,元始天尊說酆都滅罪經,,,,,,Lingbao,Scriptures,Medium-Length Scriptures,,,,元始天尊說酆都滅罪經,Yuanshi tianzun shuo Fengdu miezui jing,,,,,,,,1,Lingbao,Scriptures,Medium-Length Scriptures,,,,
